word,count,length,per_million,id,cls,pos
there,1014537,5,1685.49358578946,46,g,adv
she,985293,3,1636.90928139955,46,g,pn
all,968788,3,1609.48882099893,48,g,adj
into,875277,4,1454.13500866803,49,g,pp
more,864524,4,1436.27059117710,50,g,adj
during,843429,6,1401.22456802346,51,g,pp
time,84320,4,1400.84412055713,52,g,"nm,vt"
most,816648,4,1356.73215057488,53,g,adj
years,796994,5,1324.08012217660,54,g,ns
some,787901,4,1308.97353348089,55,g,pn
only,772278,4,1283.01837729556,56,g,adv
over,745646,4,1238.77349990150,57,g,"pp,adj"
many,734385,4,1220.06512034553,58,g,adj
s,714981,1,1187.82842760918,59,g,sym
can,713544,3,1185.44107822440,60,g,"va,nc,vt"
such,708955,4,1177.81717681402,61,g,adj
used,703174,4,1168.21295496755,62,g,vtp
would,694952,5,1154.55339571800,63,g,va
school,688421,6,1143.70316688574,64,g,"nc,vt"
city,678773,4,1127.67453302055,65,g,nc
may,668783,3,1111.07771996983,66,g,"va,vt"
up,661261,2,1098.58110057368,67,g,"adv,adj,vt"
out,653468,3,1085.63425732000,68,g,"adv,pp,vt"
him,651421,3,1082.23348892012,69,g,pn
where,627088,5,1041.80803827316,70,g,"adv,con"
later,623455,5,1035.77238043400,71,g,adr
these,619565,5,1029.30975753437,72,g,pn
between,616261,7,1023.82068142630,73,g,pp
about,613591,5,1019.38489655689,74,g,pp
under,607624,5,1009.47166497795,75,g,"pp,adv"
world,597151,5,992.072423428381,76,g,nc
then,595216,4,988.857725405044,77,g,pn
known,592618,5,984.541557206268,78,g,"pat,nc"
than,590466,4,980.966347828376,79,g,"adv,pp"
made,585069,4,972.000081558633,80,g,vtp
however,571512,7,949.477259283499,81,g,adv
united,568802,6,944.975020708179,82,g,vtp
no,554794,2,921.702932898924,83,g,"int,adj"
while,553899,5,920.216031229215,84,g,"con,vt"
state,544175,5,904.06113532279,85,g,"nc,vt"
states,535396,6,889.47620821846,86,g,"ns,vt"
three,533323,5,886.032244909737,87,g,nc
