word	definition	n	x	y
evenki	"0: a member of the people inhabiting an area of northern Mongolia and eastern Siberia (evenki.n.01)
 1: the Tungusic language of the Evenki in eastern Siberia (tungus.n.02)"	6		
evenly	"0: in equal amounts or shares; in a balanced or impartial way (evenly.r.01)
 1: in a level and regular way (evenly.r.02)"	6		
evilly	0: in a wicked evil manner (wickedly.r.01)	6		
evoked	"0: call forth (emotions, feelings, and responses) (arouse.v.01)
 1: evoke or provoke to appear or occur (provoke.v.02)
 2: deduce (a principle) or construe (a meaning) (educe.v.01)
 3: summon into action or bring into existence, often as if by magic (raise.v.07)
 4: call to mind (suggest.v.05)
 5: called forth from a latent or potential state by stimulation (elicited.s.01)"	6		
ewenki	"0: a member of the people inhabiting an area of northern Mongolia and eastern Siberia (evenki.n.01)
 1: the Tungusic language of the Evenki in eastern Siberia (tungus.n.02)"	6		
exabit	0: a unit of information equal to 1000 petabits or 10^18 bits (exabit.n.01)	6		
exacta	0: a bet that you can pick the first and second finishers in the right order (exacta.n.01)	6		
exacum	0: genus of tropical Asiatic and African plants: especially Persian violets (exacum.n.01)	6		
examen	"0: a detailed inspection of your conscience (as done daily by Jesuits) (examen.n.01)
 1: a critical study (as of a writer's work) (examen.n.02)"	6		
exarch	"0: a bishop in one of several Eastern Orthodox Churches in North America (exarch.n.01)
 1: a bishop in eastern Christendom who holds a place below a patriarch but above a metropolitan (exarch.n.02)
 2: a viceroy who governed a large province in the Roman Empire (exarch.n.03)"	6		
exceed	"0: be greater in scope or size than some standard (exceed.v.01)
 1: be superior or better than some standard (exceed.v.02)
 2: be or do something to a greater degree (surpass.v.02)"	6		
excess	"0: a quantity much larger than is needed (excess.n.01)
 1: immoderation as a consequence of going beyond sufficient or permitted limits (excess.n.02)
 2: the state of being more than full (surfeit.n.01)
 3: excessive indulgence (overindulgence.n.01)
 4: more than is needed, desired, or required (excess.s.01)"	6		
excise	"0: a tax that is measured by the amount of business done (not on property or income from real estate) (excise.n.01)
 1: remove by erasing or crossing out or as if by drawing a line (strike.v.14)
 2: levy an excise tax on (excise.v.02)
 3: remove by cutting (excise.v.03)"	6		
excite	"0: arouse or elicit a feeling (excite.v.01)
 1: act as a stimulant (stimulate.v.01)
 2: stir feelings in (stimulate.v.06)
 3: cause to be agitated, excited, or roused (agitate.v.02)
 4: stimulate sexually (arouse.v.07)
 5: stir the feelings, emotions, or peace of (stimulate.v.03)
 6: raise to a higher energy level (excite.v.07)
 7: produce a magnetic field in (excite.v.08)"	6		
excuse	"0: a defense of some offensive behavior or some failure to keep a promise etc. (excuse.n.01)
 1: a note explaining an absence (excuse.n.02)
 2: a poor example (apology.n.03)
 3: accept an excuse for (excuse.v.01)
 4: grant exemption or release to (excuse.v.02)
 5: serve as a reason or cause or justification of (excuse.v.03)
 6: defend, explain, clear away, or make excuses for by reasoning (apologize.v.02)
 7: ask for permission to be released from an engagement (excuse.v.05)
 8: excuse, overlook, or make allowances for; be lenient with (excuse.v.06)"	6		
exempt	"0: grant relief or an exemption from a rule or requirement to (exempt.v.01)
 1: grant exemption or release to (excuse.v.02)
 2: (of persons) freed from or not subject to an obligation or liability (as e.g. taxes) to which others or other things are subject (exempt.a.01)
 3: (of goods or funds) not subject to taxation (nontaxable.a.01)"	6		
exhort	"0: spur on or encourage especially by cheers and shouts (cheer.v.05)
 1: force or impel in an indicated direction (urge.v.01)"	6		
exhume	0: dig up for reburial or for medical investigation; of dead bodies (disinter.v.01)	6		
exilic	0: of or relating to a period of exile (especially the exile of the Jews known as the Babylonian Captivity) (exilic.a.01)	6		
exmoor	"0: horned sheep of Devon; valued for mutton (exmoor.n.01)
 1: stocky breed of pony with a fawn-colored nose (exmoor.n.02)"	6		
exocet	0: a guided missile developed by the French government for use against ships (exocet.n.01)	6		
exogen	0: flowering plant with two cotyledons; the stem grows by deposit on its outside (dicot.n.01)	6		
expend	"0: use up, consume fully (use.v.03)
 1: pay out (spend.v.02)"	6		
expiry	"0: a coming to an end of a contract period (termination.n.01)
 1: the event of dying or departure from life (death.n.01)"	6		
exsert	0: thrust or extend out (exsert.v.01)	6		
extant	0: still in existence; not extinct or destroyed or lost; ; - Edward Clodd (extant.a.01)	6		
extent	"0: the point or degree to which something extends (extent.n.01)
 1: the distance or area or volume over which something extends (extent.n.02)"	6		
extort	"0: obtain through intimidation (extort.v.01)
 1: obtain by coercion or intimidation (extort.v.02)
 2: get or cause to become in a difficult or laborious manner (extort.v.03)"	6		
eyecup	"0: a small vessel with a rim curved to fit the orbit of the eye; use to apply medicated or cleansing solution to the eyeball (eyecup.n.01)
 1: (embryology) a two-walled cuplike depression that develops into the pigmented and sensory layers of the retina (optic_cup.n.01)"	6		
eyeful	"0: a strikingly beautiful woman (eyeful.n.01)
 1: a full view; a good look (eyeful.n.02)"	6		
eyeish	0: a member of the Caddo people of northeastern Texas (eyeish.n.01)	6		
eyelet	"0: a small hole (usually round and finished around the edges) in cloth or leather for the passage of a cord or hook or bar (eyelet.n.01)
 1: fastener consisting of a metal ring for lining a small hole to permit the attachment of cords or lines (cringle.n.01)"	6		
eyelid	0: either of two folds of skin that can be moved to cover or open the eye (eyelid.n.01)	6		
fabled	0: celebrated in fable or legend (fabled.s.01)	6		
facial	"0: cranial nerve that supplies facial muscles (facial.n.01)
 1: care for the face that usually involves cleansing and massage and the application of cosmetic creams (facial.n.02)
 2: of or concerning the face (facial.a.01)
 3: of or pertaining to the outside surface of an object (facial.a.02)"	6		
facing	"0: a lining applied to the edge of a garment for ornamentation or strengthening (facing.n.01)
 1: an ornamental coating to a building (facing.n.02)
 2: a protective covering that protects the outside of a building (facing.n.03)
 3: providing something with a surface of a different material (lining.n.03)
 4: deal with (something unpleasant) head on (confront.v.02)
 5: oppose, as in hostility or a competition (confront.v.01)
 6: be oriented in a certain direction, often with respect to another reference point; be opposite to (front.v.01)
 7: be opposite (face.v.04)
 8: turn so as to face; turn the face in a certain direction (face.v.05)
 9: present somebody with something, usually to accuse or criticize (confront.v.03)
 10: turn so as to expose the face (face.v.07)
 11: line the edge (of a garment) with a different material (face.v.08)
 12: cover the front or surface of (face.v.09)"	6		
facula	"0: a bright spot on a planet (facula.n.01)
 1: a large bright spot on the sun's photosphere occurring most frequently in the vicinity of sunspots (facula.n.02)"	6		
fading	"0: weakening in force or intensity (attenuation.n.01)
 1: become less clearly visible or distinguishable; disappear gradually or seemingly (fade.v.01)
 2: lose freshness, vigor, or vitality (fade.v.02)
 3: disappear gradually (evanesce.v.01)
 4: become feeble (languish.v.03)"	6		
faecal	0: of or relating to feces (faecal.a.01)	6		
faeces	0: solid excretory product evacuated from the bowels (fecal_matter.n.01)	6		
fagged	"0: act as a servant for older boys, in British public schools (fag.v.01)
 1: work hard (labor.v.02)
 2: exhaust or get tired through overuse or great strain or stress (tire.v.02)
 3: drained of energy or effectiveness; extremely tired; completely exhausted (exhausted.s.01)"	6		
faggot	"0: offensive term for an openly homosexual man (fagot.n.01)
 1: a bundle of sticks and branches bound together (fagot.n.02)
 2: ornament or join (fabric) by faggot stitch (faggot.v.01)
 3: fasten together rods of iron in order to heat or weld them (faggot.v.02)
 4: bind or tie up in or as if in a faggot (faggot.v.03)"	6		
faille	0: a ribbed woven fabric of silk or rayon or cotton (faille.n.01)	6		
faisal	0: king of Saudi Arabia from 1964 to 1975 (1906-1975) (faisal.n.01)	6		
fakeer	"0: a Muslim or Hindu mendicant monk who is regarded as a holy man (fakir.n.01)
 1: fraudulent; having a misleading appearance (bogus.s.01)
 2: not genuine or real; being an imitation of the genuine article (fake.s.02)"	6		
fallal	0: cheap showy jewelry or ornament on clothing (bangle.n.02)	6		
faller	"0: a person who fells trees (lumberman.n.01)
 1: a person who falls (faller.n.02)"	6		
fallot	0: French physician who described cardiac anomalies including Fallot's tetralogy (1850-1911) (fallot.n.01)	6		
fallow	"0: cultivated land that is not seeded for one or more growing seasons (fallow.n.01)
 1: left unplowed and unseeded during a growing season (fallow.s.01)
 2: undeveloped but potentially useful (fallow.s.02)"	6		
falsie	0: padding that is worn inside a brassiere (falsie.n.01)	6		
falter	"0: the act of pausing uncertainly (hesitation.n.03)
 1: be unsure or weak (falter.v.01)
 2: move hesitatingly, as if about to give way (falter.v.02)
 3: walk unsteadily (stumble.v.01)
 4: speak haltingly (bumble.v.03)"	6		
famine	"0: an acute insufficiency (dearth.n.01)
 1: a severe shortage of food (as through crop failure) resulting in violent hunger and starvation and death (famine.n.02)"	6		
famish	"0: be hungry; go without food (starve.v.01)
 1: deprive of food (starve.v.03)
 2: die of food deprivation (starve.v.02)"	6		
famous	0: widely known and esteemed (celebrated.s.01)	6		
fandom	0: the fans of a sport or famous person (fandom.n.01)	6		
fanged	0: having fangs (fanged.a.01)	6		
fanion	0: a small flag used by surveyors or soldiers to mark a position (fanion.n.01)	6		
fanjet	"0: an airplane propelled by a fanjet engine (fanjet.n.01)
 1: a jet engine in which a fan driven by a turbine provides extra air to the burner and gives extra thrust (fanjet.n.02)"	6		
fanned	"0: strike out (a batter), (of a pitcher) (fan.v.01)
 1: make (an emotion) fiercer (fan.v.02)
 2: agitate the air (fan.v.03)
 3: separate the chaff from by using air currents (winnow.v.01)
 4: especially spread in a fan shape (fanned.s.01)"	6		
fantan	"0: a Chinese gambling game; a random number of counters are placed under a bowl and you gamble on how many will be left (0, 1, 2, or 3 modulo 4) (fantan.n.01)
 1: a card game in which you play your sevens and other cards in sequence in the same suit as the sevens; you win if you are the first to use all your cards (fantan.n.02)"	6		
faquir	0: a Muslim or Hindu mendicant monk who is regarded as a holy man (fakir.n.01)	6		
farina	0: fine meal made from cereal grain especially wheat; often used as a cooked cereal or in puddings (farina.n.01)	6		
faroes	"0: a self-governing colony that is a possession of Denmark in the Faroe Islands (faroe_islands.n.01)
 1: a group of 21 volcanic islands in the North Atlantic between Iceland and the Shetland Islands (faroe_islands.n.02)"	6		
farrow	"0: the production of a litter of pigs (farrow.n.01)
 1: give birth (farrow.v.01)"	6		
fasces	0: bundle of rods containing an axe with the blade protruding; in ancient Rome it was a symbol of a magistrate's power; in modern Italy it is a symbol of fascism (fasces.n.01)	6		
fascia	"0: a sheet or band of fibrous connective tissue separating or binding together muscles and organs etc (fascia.n.01)
 1: instrument panel on an automobile or airplane containing dials and controls (dashboard.n.02)"	6		
fatiha	0: the first or opening sura of the Quran which is the central prayer of Islam and is used on all special occasions as well as during the five daily prayers (fatiha.n.01)	6		
fatism	0: discrimination against people who are overweight (fattism.n.01)	6		
fatten	0: make fat or plump (fatten.v.01)	6		
fatwah	0: (Islam) a legal opinion or ruling issued by an Islamic scholar (fatwah.n.01)	6		
faucal	0: of or relating to the fauces (faucal.a.01)	6		
fauces	0: the passage between the back of the mouth and the pharynx (fauces.n.01)	6		
faulty	"0: having a defect (defective.s.01)
 1: characterized by errors; not agreeing with a model or not following established rules; ; ; the wrong side of the road"" (faulty.s.02)"	6		
faunus	0: (Roman mythology) ancient rural deity; later considered a counterpart of Greek Pan (faunus.n.01)	6		
favism	0: anemia resulting from eating fava beans; victims have an inherited blood abnormality and enzyme deficiency (favism.n.01)	6		
favour	"0: a feeling of favorable regard (favor.n.04)
 1: an inclination to approve (favor.n.03)
 2: an advantage to the benefit of someone or something (favor.n.02)
 3: souvenir consisting of a small gift given to a guest at a party (party_favor.n.01)
 4: an act of gracious kindness (favor.n.01)
 5: treat gently or carefully (favor.v.03)
 6: bestow a privilege upon (privilege.v.01)
 7: promote over another (prefer.v.03)
 8: consider as the favorite (favor.v.02)"	6		
fawner	0: someone who humbles himself as a sign of respect; who behaves as if he had no self-respect (apple_polisher.n.01)	6		
fecula	0: excreta (especially of insects) (fecula.n.01)	6		
fecund	"0: capable of producing offspring or vegetation (fecund.s.01)
 1: intellectually productive (fecund.s.02)"	6		
feeble	"0: pathetically lacking in force or effectiveness (feeble.s.01)
 1: lacking strength or vigor (faint.s.03)
 2: lacking bodily or muscular strength or vitality (decrepit.s.02)
 3: lacking strength; - Nathaniel Hawthorne (feeble.s.04)"	6		
feebly	"0: in a faint and feeble manner (feebly.r.01)
 1: in a halting and feeble manner (feebly.r.02)"	6		
feeler	"0: one of a pair of mobile appendages on the head of e.g. insects and crustaceans; typically sensitive to touch and taste (antenna.n.03)
 1: a tentative suggestion designed to elicit the reactions of others (overture.n.03)
 2: sensitivity similar to that of a receptor organ (antenna.n.02)
 3: slender tactile process on the jaws of a fish (barbel.n.01)"	6		
feifer	0: United States cartoonist who created a sarcastic comic strip (born in 1929) (feifer.n.01)	6		
feline	"0: any of various lithe-bodied roundheaded fissiped mammals, many with retractile claws (feline.n.01)
 1: of or relating to cats (feline.a.01)"	6		
fellah	0: an agricultural laborer in Arab countries (fellah.n.01)	6		
feller	"0: a person who fells trees (lumberman.n.01)
 1: a boy or man (chap.n.01)"	6		
felloe	0: rim (or part of the rim) into which spokes are inserted (felloe.n.01)	6		
fellow	"0: a boy or man (chap.n.01)
 1: a friend who is frequently in the company of another (companion.n.01)
 2: a person who is member of one's class or profession (colleague.n.02)
 3: one of a pair (mate.n.06)
 4: a member of a learned society (fellow.n.05)
 5: an informal form of address for a man (fellow.n.06)
 6: a man who is the lover of a girl or young woman (boyfriend.n.01)"	6		
felony	0: a serious crime (such as murder or arson) (felony.n.01)	6		
felted	"0: mat together and make felt-like (felt.v.01)
 1: cover with felt (felt.v.02)
 2: change texture so as to become matted and felt-like (felt.v.03)
 3: made by combining fibers with a binder using heat and pressure (felted.s.01)"	6		
fender	"0: a barrier that surrounds the wheels of a vehicle to block splashing water or mud (fender.n.01)
 1: an inclined metal frame at the front of a locomotive to clear the track (fender.n.02)
 2: a low metal guard to confine falling coals to a hearth (fender.n.03)
 3: a cushion-like device that reduces shock due to an impact (buffer.n.06)"	6		
fennic	0: one of two branches of the Finno-Ugric languages; a family of languages including Finnish and Estonian (but not Hungarian) (fennic.n.01)	6		
fenusa	0: birch leaf miner (fenusa.n.01)	6		
feosol	0: trade name of a drug rich in iron; used to treat some kinds of anemia (feosol.n.01)	6		
ferber	0: United States novelist; author of several popular novels (1887-1968) (ferber.n.01)	6		
fergon	0: trade name of a drug rich in iron; used to treat some types of anemia (fergon.n.01)	6		
ferial	0: of or relating to or being a feria (ferial.a.01)	6		
ferine	0: wild and menacing (feral.s.01)	6		
ferned	0: abounding in or covered with ferns (ferned.a.01)	6		
ferric	0: of or relating to or containing iron (ferric.a.01)	6		
ferule	0: a switch (a stick or cane or flat paddle) used to punish children (ferule.n.01)	6		
fervid	"0: characterized by intense emotion (ardent.s.01)
 1: extremely hot; - Nathaniel Hawthorne; - Frances Trollope (fervent.s.02)"	6		
fervor	"0: feelings of great warmth and intensity (ardor.n.03)
 1: the state of being emotionally aroused and worked up (excitement.n.02)"	6		
fescue	0: grass with wide flat leaves cultivated in Europe and America for permanent pasture and hay and for lawns (fescue.n.01)	6		
festal	0: offering fun and gaiety (gay.s.05)	6		
fester	"0: a sore that has become inflamed and formed pus (fester.n.01)
 1: ripen and generate pus (fester.v.01)"	6		
fetich	"0: a charm superstitiously believed to embody magical powers (juju.n.02)
 1: excessive or irrational devotion to some activity (fetish.n.03)"	6		
fetish	"0: a form of sexual desire in which gratification depends to an abnormal degree on some object or item of clothing or part of the body (fetish.n.01)
 1: a charm superstitiously believed to embody magical powers (juju.n.02)
 2: excessive or irrational devotion to some activity (fetish.n.03)"	6		
fettle	"0: a state of fitness and good health (fettle.n.01)
 1: remove mold marks or sand from (a casting) (fettle.v.01)"	6		
fewest	"0: (superlative of `few' used with count nouns and usually preceded by `the') quantifier meaning the smallest in number (fewest.a.01)
 1: a quantifier that can be used with count nouns and is often preceded by `a'; a small but indefinite number (few.a.01)"	6		
fiance	0: a man who is engaged to be married (fiance.n.01)	6		
fibril	0: a very slender natural or synthetic fiber (fibril.n.01)	6		
fibrin	0: a white insoluble fibrous protein formed by the action of thrombin on fibrinogen when blood clots; it forms a network that traps red cells and platelets (fibrin.n.01)	6		
fibula	0: the outer and thinner of the two bones of the human leg between the knee and ankle (fibula.n.01)	6		
fijian	"0: a native or inhabitant of Fiji (fijian.n.01)
 1: the Oceanic language spoken on Fiji (fijian.n.02)
 2: of or relating to Fiji or its people or language or culture (fijian.a.01)"	6		
filago	0: any plant of the genus Filago having capitate clusters of small woolly flower heads (cotton_rose.n.02)	6		
filial	"0: designating the generation or the sequence of generations following the parental generation (filial.a.01)
 1: relating to or characteristic of or befitting an offspring (filial.a.02)"	6		
filled	"0: make full, also in a metaphorical sense (fill.v.01)
 1: become full (fill.v.02)
 2: occupy the whole of (occupy.v.03)
 3: assume, as of positions or roles (fill.v.04)
 4: fill or meet a want or need (meet.v.04)
 5: appoint someone to (a position or a job) (fill.v.06)
 6: eat until one is sated (fill_up.v.04)
 7: fill to satisfaction (satiate.v.01)
 8: plug with a substance (fill.v.09)
 9: (usually followed by `with' or used as a combining form) generously supplied with (filled.s.01)
 10: of purchase orders that have been filled (filled.a.02)
 11: (of time) taken up (filled.s.03)"	6		
fillip	0: anything that tends to arouse (bonus.n.01)	6		
filmed	"0: make a film or photograph of something (film.v.01)
 1: record in film (film.v.02)
 2: recorded on film; made into a movie (filmed.s.01)"	6		
filthy	"0: disgustingly dirty; filled or smeared with offensive matter (filthy.s.01)
 1: vile; despicable (dirty.s.03)
 2: characterized by obscenity (cruddy.s.01)"	6		
finale	"0: the closing section of a musical composition (finale.n.01)
 1: the temporal end; the concluding time (stopping_point.n.01)
 2: the concluding part of any performance (finale.n.03)"	6		
fincen	0: a law enforcement agency of the Treasury Department responsible for establishing and implementing policies to detect money laundering (financial_crimes_enforcement_network.n.01)	6		
finely	"0: in tiny pieces (finely.r.01)
 1: in an elegant manner (finely.r.02)
 2: in a delicate manner (finely.r.03)"	6		
finery	0: elaborate or showy attire and accessories (finery.n.01)	6		
finial	0: an ornament at the top of a spire or gable; usually a foliated fleur-de-lis (finial.n.01)	6		
finish	"0: a decorative texture or appearance of a surface (or the substance that gives it that appearance) (coating.n.02)
 1: the temporal end; the concluding time (stopping_point.n.01)
 2: a highly developed state of perfection; having a flawless or impeccable quality; ; ; --Joseph Conrad (polish.n.02)
 3: the place designated as the end (as of a race or journey) (finish.n.04)
 4: designated event that concludes a contest (especially a race) (finish.n.05)
 5: the downfall of someone (as of persons on one side of a conflict) (finish.n.06)
 6: event whose occurrence ends something (ending.n.04)
 7: (wine tasting) the taste of a wine on the back of the tongue (as it is swallowed) (finish.n.08)
 8: the act of finishing (finish.n.09)
 9: come or bring to a finish or an end (complete.v.01)
 10: finally be or do something (finish_up.v.02)
 11: have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical (end.v.01)
 12: provide with a finish (finish.v.04)
 13: finish eating all the food on one's plate or on the table (eat_up.v.01)
 14: cause to finish a relationship with somebody (finish.v.06)"	6		
finnan	0: haddock usually baked but sometimes broiled with lots of butter (finnan_haddie.n.01)	6		
finnic	0: one of two branches of the Finno-Ugric languages; a family of languages including Finnish and Estonian (but not Hungarian) (fennic.n.01)	6		
fipple	0: a wooden plug forming a flue pipe (as the mouthpiece of a recorder) (fipple.n.01)	6		
firing	"0: the act of firing weapons or artillery at an enemy (fire.n.02)
 1: the act of discharging a gun (discharge.n.09)
 2: the act of setting something on fire (ignition.n.03)
 3: the termination of someone's employment (leaving them free to depart) (dismissal.n.04)
 4: start firing a weapon (open_fire.v.01)
 5: cause to go off (fire.v.02)
 6: bake in a kiln so as to harden (fire.v.03)
 7: terminate the employment of; discharge from an office or position (displace.v.03)
 8: go off or discharge (fire.v.05)
 9: drive out or away by or as if by fire (fire.v.06)
 10: call forth (emotions, feelings, and responses) (arouse.v.01)
 11: destroy by fire (burn.v.01)
 12: provide with fuel (fuel.v.02)"	6		
firkin	"0: a British unit of capacity equal to 9 imperial gallons (firkin.n.01)
 1: a small wooden keg (firkin.n.02)"	6		
firmly	"0: with resolute determination (firm.r.01)
 1: in a secure manner; in a manner free from danger (securely.r.01)
 2: with firmness (hard.r.02)"	6		
fitful	"0: occurring in spells and often abruptly (fitful.s.01)
 1: intermittently stopping and starting (fitful.s.02)"	6		
fizgig	"0: an implement with a shaft and barbed point used for catching fish (spear.n.02)
 1: a firework that fizzes as it moves (fizgig.n.02)"	6		
fizzle	"0: a fricative sound (especially as an expression of disapproval) (hiss.n.01)
 1: a complete failure (flop.n.03)
 2: end weakly (taper_off.v.01)"	6		
flabby	0: out of condition; not strong or robust; incapable of exertion or endurance (soft.s.15)	6		
flagyl	0: antiprotozoal medication (trade name Flagyl) used to treat trichomoniasis and giardiasis (metronidazole.n.01)	6		
flamen	0: a priest who served a particular deity in ancient Rome (flamen.n.01)	6		
flatus	0: a reflex that expels intestinal gas through the anus (fart.n.01)	6		
flaunt	"0: the act of displaying something ostentatiously (flaunt.n.01)
 1: display proudly; act ostentatiously or pretentiously (flaunt.v.01)"	6		
flavin	0: a ketone that forms the nucleus of certain natural yellow pigments like riboflavin (flavin.n.01)	6		
flawed	"0: add a flaw or blemish to; make imperfect or defective (flaw.v.01)
 1: having a blemish or flaw (blemished.s.02)"	6		
flaxen	0: of hair color; pale yellowish to yellowish brown (flaxen.s.01)	6		
fleecy	0: (of fabrics) having soft nap produced by brushing (brushed.s.03)	6		
flense	0: strip the blubber or skin from (a whale or seal) (flense.v.01)	6		
fleshy	"0: usually describes a large person who is fat but has a large frame to carry it (fleshy.s.01)
 1: of or relating to or resembling flesh (fleshy.a.02)"	6		
flexor	0: a skeletal muscle whose contraction bends a joint (flexor_muscle.n.01)	6		
flinty	"0: containing flint (flinty.a.01)
 1: showing unfeeling resistance to tender feelings (flinty.s.02)"	6		
floozy	0: a prostitute who attracts customers by walking the streets (streetwalker.n.01)	6		
florey	0: British pathologist who isolated and purified penicillin, which had been discovered in 1928 by Sir Alexander Fleming (1898-1968) (florey.n.01)	6		
florid	"0: elaborately or excessively ornamented (aureate.s.01)
 1: inclined to a healthy reddish color often associated with outdoor life (rubicund.s.01)"	6		
florio	0: English lexicographer remembered for his Italian and English dictionary (1553-1625) (florio.n.01)	6		
flossy	0: like down or as soft as down (downy.s.01)	6		
floury	0: resembling flour in fine powdery texture (floury.s.01)	6		
flukey	0: subject to accident or chance or change (chancy.s.02)	6		
flunky	"0: a male servant (especially a footman) (lackey.n.01)
 1: a person of unquestioning obedience (flunky.n.02)"	6		
flyway	0: the geographic route along which birds customarily migrate (migration_route.n.01)	6		
foeman	0: an armed adversary (especially a member of an opposing military force) (enemy.n.02)	6		
foetal	0: of or relating to a fetus (fetal.a.01)	6		
foetid	0: offensively malodorous (fetid.s.01)	6		
foetor	0: a distinctive odor that is offensively unpleasant (malodor.n.01)	6		
foetus	0: an unborn or unhatched vertebrate in the later stages of development showing the main recognizable features of the mature animal (fetus.n.01)	6		
fogged	"0: make less visible or unclear (obscure.v.01)
 1: obscured by fog (fogged.s.01)"	6		
foible	"0: a behavioral attribute that is distinctive and peculiar to an individual (idiosyncrasy.n.01)
 1: the weaker part of a sword's blade from the forte to the tip (foible.n.02)"	6		
foiled	"0: enhance by contrast (foil.v.01)
 1: hinder or prevent (the efforts, plans, or desires) of (thwart.v.01)
 2: cover or back with foil (foil.v.03)
 3: disappointingly unsuccessful (defeated.s.02)"	6		
folate	0: a B vitamin that is essential for cell growth and reproduction (vitamin_bc.n.01)	6		
folksy	"0: characteristic of country life (cracker-barrel.s.01)
 1: very informal and familiar (folksy.s.02)"	6		
foment	"0: try to stir up public opinion (agitate.v.01)
 1: bathe with warm water or medicated lotions (foment.v.02)"	6		
fomite	0: any inanimate object (as a towel or money or clothing or dishes or books or toys etc.) that can transmit infectious agents from one person to another (fomite.n.01)	6		
fondle	0: touch or stroke lightly in a loving or endearing manner (caress.v.01)	6		
fondly	0: with fondness; with love (fondly.r.01)	6		
foodie	0: a person devoted to refined sensuous enjoyment (especially good food and drink) (epicure.n.01)	6		
footed	"0: pay for something (foot.v.01)
 1: walk (foot.v.02)
 2: add a column of numbers (foot.v.03)
 3: having feet (footed.a.01)"	6		
footer	"0: (used only in combinations) the height or length of something in feet (footer.n.01)
 1: a person who travels by foot (pedestrian.n.01)
 2: a printed note placed below the text on a printed page (footnote.n.01)"	6		
footle	"0: be about (loiter.v.01)
 1: act foolishly, as by talking nonsense (footle.v.02)"	6		
forced	"0: to cause to do through pressure or necessity, by physical, moral or intellectual means : (coerce.v.01)
 1: urge or force (a person) to an action; constrain or motivate (impel.v.01)
 2: move with force, (push.v.01)
 3: impose urgently, importunately, or inexorably (force.v.04)
 4: squeeze like a wedge into a tight space (wedge.v.02)
 5: force into or from an action or state, either physically or metaphorically (force.v.06)
 6: cause to move by pulling (pull.v.01)
 7: do forcibly; exert force (force.v.08)
 8: take by force (storm.v.02)
 9: produced by or subjected to forcing (forced.a.01)
 10: forced or compelled (forced.s.02)
 11: made necessary by an unexpected situation or emergency (forced.s.03)
 12: lacking spontaneity; not natural (constrained.s.01)"	6		
forego	"0: be earlier in time; go back further (predate.v.01)
 1: do without or cease to hold or adhere to (waive.v.01)
 2: lose (s.th.) or lose the right to (s.th.) by some error, offense, or crime (forfeit.v.01)"	6		
forget	"0: dismiss from the mind; stop remembering (forget.v.01)
 1: be unable to remember (forget.v.02)
 2: forget to do something (forget.v.03)
 3: leave behind unintentionally (forget.v.04)"	6		
forint	0: the basic unit of money in Hungary (forint.n.01)	6		
forked	"0: lift with a pitchfork (pitchfork.v.01)
 1: place under attack with one's own pieces, of two enemy pieces (fork.v.02)
 2: divide into two or more branches so as to form a fork (branch.v.02)
 3: shape like a fork (fork.v.04)
 4: resembling a fork; divided or separated into two branches (bifurcate.s.01)
 5: having two meanings with intent to deceive (double.s.07)"	6		
fornix	"0: generally any arch shaped structure (but often it refers to the arched roof of an anatomical space) (fornix.n.01)
 1: an arched bundle of white fibers at the base of the brain by which the hippocampus of each hemisphere projects to the contralateral hippocampus and to the thalamus and mamillary bodies (fornix.n.02)"	6		
forrad	0: at or to or toward the front; ; ; ; (`forrad' and `forrard' are dialectal variations) (forward.r.01)	6		
fortaz	0: a parenteral cephalosporin (trade names Fortaz and Tazicef) used to treat moderate infections (ceftazidime.n.01)	6		
foryml	0: (chemistry) the negative univalent acyl radical CHO that occurs in aldehydes (foryml.n.01)	6		
fouled	"0: hit a foul ball (foul.v.01)
 1: make impure (pollute.v.01)
 2: become or cause to become obstructed (clog.v.01)
 3: commit a foul; break the rules (foul.v.04)
 4: spot, stain, or pollute (foul.v.05)
 5: make unclean (foul.v.06)
 6: become soiled and dirty (foul.v.07)
 7: made dirty or foul (befouled.s.01)
 8: especially of a ship's lines etc (afoul.s.01)"	6		
foully	"0: in an unfair and insulting manner (foully.r.01)
 1: in a wicked and shameful manner (foully.r.02)"	6		
fowler	"0: English lexicographer who wrote a well-known book on English usage (1858-1933) (fowler.n.01)
 1: someone who hunts wild birds for food (fowler.n.02)"	6		
foxily	0: in an artful manner (craftily.r.01)	6		
fracas	0: noisy quarrel (affray.n.01)	6		
franck	"0: French composer and teacher who influenced a generation of composers (1822-1890) (franck.n.01)
 1: United States physicist (born in Germany) who with Gustav Hertz performed an electron scattering experiment that proved the existence of the stationary energy states postulated by Niels Bohr (1882-1964) (franck.n.02)"	6		
franco	0: Spanish general whose armies took control of Spain in 1939 and who ruled as a dictator until his death (1892-1975) (franco.n.01)	6		
frayed	"0: wear away by rubbing (fray.v.01)
 1: cause friction (rub.v.02)
 2: worn away or tattered along the edges (frayed.s.01)"	6		
frazer	0: English social anthropologist noted for studies of primitive religion and magic (1854-1941) (frazer.n.01)	6		
freely	0: in a free manner (freely.r.01)	6		
